title,meta,headers,body,map,p10,ndcg10,ndcg1000
3,1,5,0,0.0154,0.1360,0.1039,0.0703
3,1,5,1,0.0161,0.1390,0.1053,0.0735
3,1,5,3,0.0185,0.1580,0.1168,0.0845
3,1,5,5,0.0240,0.1820,0.1317,0.0995
3,3,0,0,0.0147,0.1360,0.1014,0.0701
3,3,0,1,0.0166,0.1490,0.1107,0.0767
3,3,0,3,0.0226,0.1850,0.1345,0.0961
3,3,0,5,0.0301,0.2120,0.1575,0.1088
3,3,1,0,0.0162,0.1440,0.1097,0.0738
3,3,1,1,0.0176,0.1480,0.1147,0.0789
3,3,1,3,0.0237,0.1830,0.1371,0.0977
3,3,1,5,0.0305,0.2190,0.1585,0.1097
3,3,3,0,0.0180,0.1480,0.1137,0.0793
3,3,3,1,0.0196,0.1580,0.1218,0.0844
3,3,3,3,0.0238,0.1870,0.1372,0.0970
3,3,3,5,0.0297,0.2110,0.1559,0.1086
3,3,5,0,0.0160,0.1390,0.1054,0.0728
3,3,5,1,0.0167,0.1430,0.1085,0.0757
3,3,5,3,0.0189,0.1550,0.1180,0.0857
3,3,5,5,0.0245,0.1850,0.1386,0.0995
3,5,0,0,0.0113,0.1190,0.0894,0.0544
3,5,0,1,0.0121,0.1240,0.0953,0.0577
3,5,0,3,0.0141,0.1410,0.1032,0.0686
3,5,0,5,0.0202,0.1690,0.1203,0.0893
3,5,1,0,0.0120,0.1250,0.0957,0.0570
3,5,1,1,0.0126,0.1300,0.0985,0.0594
3,5,1,3,0.0150,0.1470,0.1091,0.0711
3,5,1,5,0.0210,0.1680,0.1234,0.0912
3,5,3,0,0.0132,0.1310,0.1001,0.0629
3,5,3,1,0.0139,0.1360,0.1042,0.0661
3,5,3,3,0.0158,0.1500,0.1119,0.0747
3,5,3,5,0.0217,0.1810,0.1313,0.0920
3,5,5,0,0.0165,0.1410,0.1111,0.0739
3,5,5,1,0.0172,0.1470,0.1157,0.0763
3,5,5,3,0.0187,0.1570,0.1195,0.0826
3,5,5,5,0.0224,0.1810,0.1346,0.0935
5,0,0,0,0.0175,0.1410,0.1079,0.0752
5,0,0,1,0.0207,0.1650,0.1278,0.0848
5,0,0,3,0.0245,0.1900,0.1435,0.0969
5,0,0,5,0.0312,0.2210,0.1620,0.1122
5,0,1,0,0.0193,0.1510,0.1175,0.0791
5,0,1,1,0.0208,0.1650,0.1266,0.0849
5,0,1,3,0.0248,0.1890,0.1399,0.0977
5,0,1,5,0.0319,0.2230,0.1655,0.1135
5,0,3,0,0.0202,0.1550,0.1198,0.0823
5,0,3,1,0.0213,0.1660,0.1266,0.0863
5,0,3,3,0.0246,0.1830,0.1370,0.0981
5,0,3,5,0.0304,0.2150,0.1573,0.1104
5,0,5,0,0.0187,0.1470,0.1121,0.0799
5,0,5,1,0.0199,0.1520,0.1159,0.0840
5,0,5,3,0.0220,0.1680,0.1260,0.0923
5,0,5,5,0.0259,0.1880,0.1372,0.1027
5,1,0,0,0.0187,0.1510,0.1155,0.0783
5,1,0,1,0.0205,0.1650,0.1265,0.0845
5,1,0,3,0.0249,0.1970,0.1425,0.0975
5,1,0,5,0.0315,0.2340,0.1679,0.1125
5,1,1,0,0.0197,0.1580,0.1218,0.0804
5,1,1,1,0.0213,0.1760,0.1331,0.0863
5,1,1,3,0.0254,0.1930,0.1439,0.0989
5,1,1,5,0.0323,0.2340,0.1708,0.1137
5,1,3,0,0.0206,0.1600,0.1215,0.0829
5,1,3,1,0.0217,0.1670,0.1280,0.0876
5,1,3,3,0.0250,0.1850,0.1383,0.0986
5,1,3,5,0.0302,0.2200,0.1606,0.1103
5,1,5,0,0.0188,0.1480,0.1147,0.0801
5,1,5,1,0.0196,0.1520,0.1164,0.0837
5,1,5,3,0.0217,0.1650,0.1241,0.0919
5,1,5,5,0.0261,0.1840,0.1364,0.1029
5,3,0,0,0.0187,0.1450,0.1119,0.0791
5,3,0,1,0.0202,0.1570,0.1213,0.0841
5,3,0,3,0.0239,0.1820,0.1333,0.0963
5,3,0,5,0.0291,0.2220,0.1578,0.1081
5,3,1,0,0.0195,0.1540,0.1178,0.0807
5,3,1,1,0.0207,0.1620,0.1243,0.0856
