title,meta,headers,body,QueryNumber,map,p10,ndcg10,ndcg1000,bpref,rr
0,0,0,3,209,0.0154,0.1000,0.0722,0.0655,0.0651,0.2000
0,0,0,3,210,0.0054,0.0000,0.0000,0.0720,0.0373,0.0588
0,0,0,3,211,0.0801,0.5000,0.2633,0.2183,0.2125,0.5000
0,0,0,3,212,0.0013,0.0000,0.0000,0.0579,0.0000,0.0076
0,0,0,3,213,0.0182,0.1000,0.0694,0.1460,0.1878,0.1250
0,0,0,3,214,0.0967,0.6000,0.3981,0.2448,0.2124,1.0000
0,0,0,3,215,0.0527,0.2000,0.0945,0.2120,0.2282,0.1667
0,0,0,3,216,0.0611,0.5000,0.2425,0.1793,0.1633,1.0000
0,0,0,3,217,0.0450,0.7000,0.2583,0.1425,0.1440,0.2500
0,0,0,3,218,0.0154,0.2000,0.1526,0.1161,0.1091,1.0000
0,0,0,3,219,0.0011,0.0000,0.0000,0.0314,0.0306,0.0135
0,0,0,3,220,0.0004,0.0000,0.0000,0.0223,0.0187,0.0097
0,0,0,3,221,0.0736,0.3000,0.1560,0.1720,0.1868,1.0000
0,0,0,3,222,0.0685,0.4000,0.2135,0.1802,0.1703,1.0000
0,0,0,3,223,0.1135,0.6000,0.3770,0.2959,0.2203,1.0000
0,0,0,3,224,0.0297,0.2000,0.2173,0.1437,0.0993,0.5000
0,0,0,3,225,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,0,0,3,226,0.0159,0.0000,0.0000,0.1396,0.1211,0.0667
0,0,0,3,227,0.1179,0.5000,0.5746,0.3499,0.2272,1.0000
0,0,0,3,228,0.0142,0.1000,0.0804,0.0973,0.1043,0.2500
0,0,0,3,229,0.0840,0.5000,0.5549,0.2811,0.2297,1.0000
0,0,0,3,230,0.0178,0.3000,0.2214,0.1232,0.1095,0.2500
0,0,0,3,231,0.0328,0.1000,0.0354,0.1651,0.2372,0.2000
0,0,0,3,232,0.1260,0.6000,0.7059,0.2811,0.1474,1.0000
0,0,0,3,233,0.0055,0.0000,0.0000,0.0807,0.0613,0.0455
0,0,0,3,234,0.0554,0.3000,0.2738,0.2008,0.1618,0.5000
0,0,0,3,235,0.0119,0.1000,0.1067,0.0920,0.0663,0.1667
0,0,0,3,236,0.0752,0.5000,0.4450,0.2329,0.1820,1.0000
0,0,0,3,237,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,0,0,3,238,0.0333,0.2000,0.1521,0.1268,0.0944,0.5000
0,0,0,3,239,0.0432,0.4000,0.2244,0.1601,0.1312,1.0000
0,0,0,3,240,0.0005,0.0000,0.0000,0.0210,0.0246,0.0400
0,0,0,3,241,0.0013,0.0000,0.0000,0.0476,0.0947,0.0161
0,0,0,3,242,0.0019,0.0000,0.0000,0.0334,0.0240,0.0435
0,0,0,3,243,0.0089,0.1000,0.0713,0.0680,0.0772,0.5000
0,0,0,3,244,0.0530,0.2000,0.0884,0.1661,0.1384,0.1111
0,0,0,3,245,0.0023,0.0000,0.0000,0.0240,0.0000,0.0204
0,0,0,3,246,0.0022,0.0000,0.0000,0.0387,0.0506,0.0714
0,0,0,3,247,0.0008,0.0000,0.0000,0.0195,0.0226,0.0189
0,0,0,3,248,0.0014,0.0000,0.0000,0.0320,0.0250,0.0263
0,0,0,3,249,0.0073,0.0000,0.0000,0.1012,0.1085,0.0303
0,0,0,3,250,0.0050,0.1000,0.0353,0.0271,0.0375,0.1000
0,0,0,3,251,0.0023,0.0000,0.0000,0.0330,0.0327,0.0588
0,0,0,3,252,0.0437,0.6000,0.2937,0.1169,0.0714,1.0000
0,0,0,3,253,0.0260,0.4000,0.1766,0.0888,0.0640,0.5000
0,0,0,3,254,0.0002,0.0000,0.0000,0.0104,0.0211,0.0045
0,0,0,3,255,0.0006,0.0000,0.0000,0.0237,0.0000,0.0032
0,0,0,3,256,0.0362,0.3000,0.1994,0.1292,0.0990,1.0000
0,0,0,3,257,0.0326,0.3000,0.1176,0.1276,0.1014,0.3333
0,0,0,3,258,0.0113,0.2000,0.1026,0.0478,0.0420,0.5000
