title,meta,headers,body,map,p10,ndcg10,ndcg1000
3,3,0,0,0.0315,0.1507,0.1309,0.1229
3,3,0,1,0.0414,0.1723,0.1491,0.1541
3,3,0,3,0.0815,0.2327,0.1988,0.2635
3,3,0,5,0.1044,0.2793,0.2383,0.3042
3,3,1,0,0.0344,0.1577,0.1369,0.1302
3,3,1,1,0.0432,0.1730,0.1513,0.1581
3,3,1,3,0.0822,0.2343,0.1988,0.2618
3,3,1,5,0.1053,0.2810,0.2395,0.3051
3,3,3,0,0.0416,0.1750,0.1489,0.1469
3,3,3,1,0.0506,0.1877,0.1615,0.1731
3,3,3,3,0.0787,0.2297,0.1949,0.2528
3,3,3,5,0.1039,0.2770,0.2380,0.3015
3,3,5,0,0.0394,0.1670,0.1413,0.1399
3,3,5,1,0.0451,0.1793,0.1491,0.1573
3,3,5,3,0.0603,0.2053,0.1707,0.2040
3,3,5,5,0.0879,0.2467,0.2069,0.2740
3,5,0,0,0.0258,0.1427,0.1220,0.1035
3,5,0,1,0.0304,0.1567,0.1328,0.1192
3,5,0,3,0.0456,0.1813,0.1556,0.1747
3,5,0,5,0.0802,0.2303,0.1948,0.2638
3,5,1,0,0.0274,0.1473,0.1263,0.1088
3,5,1,1,0.0313,0.1607,0.1366,0.1223
3,5,1,3,0.0467,0.1833,0.1571,0.1767
3,5,1,5,0.0816,0.2327,0.1964,0.2648
3,5,3,0,0.0312,0.1517,0.1318,0.1209
3,5,3,1,0.0357,0.1633,0.1420,0.1353
3,5,3,3,0.0495,0.1880,0.1614,0.1826
3,5,3,5,0.0818,0.2313,0.1957,0.2628
3,5,5,0,0.0391,0.1717,0.1466,0.1405
3,5,5,1,0.0442,0.1777,0.1531,0.1560
3,5,5,3,0.0566,0.2013,0.1720,0.1938
3,5,5,5,0.0793,0.2343,0.1972,0.2556
5,0,0,0,0.0298,0.1223,0.1109,0.1176
5,0,0,1,0.0422,0.1533,0.1394,0.1521
5,0,0,3,0.0725,0.2143,0.1879,0.2348
5,0,0,5,0.1055,0.2787,0.2377,0.3025
5,0,1,0,0.0328,0.1357,0.1221,0.1238
5,0,1,1,0.0433,0.1560,0.1426,0.1548
5,0,1,3,0.0728,0.2103,0.1871,0.2339
5,0,1,5,0.1060,0.2707,0.2364,0.3029
5,0,3,0,0.0376,0.1510,0.1339,0.1362
5,0,3,1,0.0471,0.1680,0.1504,0.1641
5,0,3,3,0.0716,0.2107,0.1874,0.2300
5,0,3,5,0.1038,0.2697,0.2346,0.2991
5,0,5,0,0.0412,0.1587,0.1397,0.1437
5,0,5,1,0.0485,0.1747,0.1517,0.1643
5,0,5,3,0.0652,0.2047,0.1755,0.2112
5,0,5,5,0.0909,0.2450,0.2128,0.2779
5,1,0,0,0.0319,0.1313,0.1188,0.1227
5,1,0,1,0.0421,0.1600,0.1424,0.1535
5,1,0,3,0.0710,0.2120,0.1844,0.2328
5,1,0,5,0.1045,0.2710,0.2349,0.3011
5,1,1,0,0.0343,0.1437,0.1275,0.1288
5,1,1,1,0.0433,0.1627,0.1458,0.1560
5,1,1,3,0.0712,0.2090,0.1844,0.2320
5,1,1,5,0.1043,0.2713,0.2348,0.3008
5,1,3,0,0.0389,0.1547,0.1362,0.1399
5,1,3,1,0.0474,0.1700,0.1502,0.1646
5,1,3,3,0.0704,0.2090,0.1836,0.2284
5,1,3,5,0.1021,0.2687,0.2330,0.2965
5,1,5,0,0.0422,0.1627,0.1411,0.1462
5,1,5,1,0.0488,0.1753,0.1512,0.1646
5,1,5,3,0.0651,0.2073,0.1765,0.2103
5,1,5,5,0.0898,0.2477,0.2123,0.2757
5,3,0,0,0.0343,0.1503,0.1322,0.1284
5,3,0,1,0.0425,0.1623,0.1442,0.1553
5,3,0,3,0.0667,0.1980,0.1726,0.2249
5,3,0,5,0.0990,0.2617,0.2259,0.2934
5,3,1,0,0.0365,0.1563,0.1361,0.1337
5,3,1,1,0.0437,0.1670,0.1466,0.1575
5,3,1,3,0.0672,0.2003,0.1762,0.2248
5,3,1,5,0.0990,0.2617,0.2267,0.2929
5,3,3,0,0.0400,0.1673,0.1432,0.1428
5,3,3,1,0.0471,0.1777,0.1530,0.1647
5,3,3,3,0.0667,0.1987,0.1748,0.2216
5,3,3,5,0.0968,0.2547,0.2219,0.2881
5,3,5,0,0.0428,0.1697,0.1435,0.1481
5,3,5,1,0.0490,0.1807,0.1517,0.1658
5,3,5,3,0.0631,0.2077,0.1735,0.2070
5,3,5,5,0.0863,0.2447,0.2055,0.2681
5,5,0,0,0.0315,0.1507,0.1309,0.1229
5,5,0,1,0.0373,0.1623,0.1412,0.1406
5,5,0,3,0.0531,0.1910,0.1665,0.1919
5,5,0,5,0.0815,0.2327,0.1988,0.2636
5,5,1,0,0.0335,0.1543,0.1354,0.1276
5,5,1,1,0.0384,0.1647,0.1432,0.1433
5,5,1,3,0.0538,0.1910,0.1657,0.1924
5,5,1,5,0.0819,0.2323,0.1983,0.2624
5,5,3,0,0.0364,0.1587,0.1391,0.1349
5,5,3,1,0.0418,0.1703,0.1498,0.1510
5,5,3,3,0.0554,0.1960,0.1687,0.1943
5,5,3,5,0.0817,0.2347,0.1989,0.2603
5,5,5,0,0.0416,0.1750,0.1490,0.1469
5,5,5,1,0.0468,0.1803,0.1553,0.1620
5,5,5,3,0.0589,0.2037,0.1739,0.1982
5,5,5,5,0.0787,0.2297,0.1949,0.2528
