title,meta,headers,body,QueryNumber,map,p10,ndcg10,ndcg1000,bpref,rr
3,0,0,0,433,0.0145,0.0000,0.0000,0.1024,0.0947,0.0714
3,0,0,0,435,0.1233,0.2000,0.0739,0.3522,0.3489,0.1667
3,0,0,0,436,0.0358,0.8000,0.6247,0.1755,0.1066,1.0000
3,0,0,0,439,0.0116,0.1000,0.0663,0.1558,0.1562,0.1111
3,0,0,0,443,0.0524,0.4000,0.4537,0.2686,0.2018,1.0000
3,0,0,0,448,0.0011,0.0000,0.0000,0.0453,0.0270,0.0059
3,0,0,0,622,0.0960,0.6000,0.4264,0.2339,0.1710,0.3333
3,0,0,0,625,0.0101,0.1000,0.2201,0.1075,0.0137,1.0000
3,0,0,0,638,0.0014,0.0000,0.0000,0.0643,0.0725,0.0333
3,0,0,0,639,0.0274,0.5000,0.2931,0.1261,0.1174,1.0000
3,0,0,0,648,0.1357,0.6000,0.5087,0.3158,0.2083,1.0000
3,0,0,0,650,0.0032,0.0000,0.0000,0.0806,0.0000,0.0204
3,0,0,0,651,0.0046,0.0000,0.0000,0.0810,0.0568,0.0588
3,0,0,0,658,0.0394,0.2000,0.1136,0.2113,0.1648,0.2500
3,0,0,0,689,0.0257,0.0000,0.0000,0.1707,0.1313,0.0909
3,0,0,1,303,0.2101,0.4000,0.3195,0.6221,0.3749,0.2500
3,0,0,1,307,0.0975,0.4000,0.4221,0.2580,0.2088,1.0000
3,0,0,1,310,0.0033,0.0000,0.0000,0.0458,0.0398,0.0526
3,0,0,1,314,0.0006,0.0000,0.0000,0.0410,0.0000,0.0054
3,0,0,1,322,0.0005,0.0000,0.0000,0.0284,0.0000,0.0022
3,0,0,1,325,0.3461,0.1000,0.0842,0.6899,0.6767,0.5000
3,0,0,1,330,0.1485,0.7000,0.6678,0.4542,0.4022,1.0000
3,0,0,1,336,0.2237,0.6000,0.3891,0.4783,0.3180,1.0000
3,0,0,1,341,0.1246,0.1000,0.0501,0.3357,0.1695,0.1667
3,0,0,1,344,0.0543,0.6000,0.2934,0.2341,0.1620,1.0000
3,0,0,1,345,0.0001,0.0000,0.0000,0.0241,0.0000,0.0012
3,0,0,1,347,0.1769,0.5000,0.4775,0.5592,0.3304,1.0000
3,0,0,1,353,0.0463,0.2000,0.1170,0.2678,0.1066,0.1429
3,0,0,1,354,0.0858,0.3000,0.3964,0.3547,0.3510,1.0000
3,0,0,1,362,0.0937,0.9000,0.8898,0.3327,0.1752,1.0000
3,0,0,1,363,0.0480,0.4000,0.4780,0.2326,0.1252,1.0000
3,0,0,1,367,0.0743,0.4000,0.3693,0.4090,0.1214,0.5000
3,0,0,1,372,0.0258,0.0000,0.0000,0.2300,0.0653,0.0222
3,0,0,1,374,0.3864,0.5000,0.5339,0.6991,0.6288,1.0000
3,0,0,1,375,0.0494,0.1000,0.2201,0.1973,0.1104,1.0000
3,0,0,1,378,0.0636,0.1000,0.2201,0.3175,0.1224,1.0000
3,0,0,1,383,0.0029,0.0000,0.0000,0.0658,0.0335,0.0120
3,0,0,1,389,0.0117,0.1000,0.0424,0.1038,0.0800,0.1111
3,0,0,1,393,0.0046,0.1000,0.0734,0.0698,0.0478,0.1429
3,0,0,1,394,0.1345,0.8000,0.8512,0.3168,0.1889,1.0000
3,0,0,1,397,0.0329,0.0000,0.0000,0.3179,0.0354,0.0227
3,0,0,1,399,0.0714,0.5000,0.5310,0.3349,0.2719,1.0000
3,0,0,1,401,0.0479,0.3000,0.4690,0.2162,0.1074,1.0000
3,0,0,1,404,0.0507,0.5000,0.3593,0.2442,0.2055,1.0000
3,0,0,1,408,0.0385,0.1000,0.0694,0.1799,0.1378,0.5000
3,0,0,1,409,0.0433,0.5000,0.4842,0.2026,0.1678,1.0000
3,0,0,1,416,0.3269,0.7000,0.3863,0.6072,0.3972,1.0000
3,0,0,1,419,0.0379,0.2000,0.1682,0.2762,0.0934,0.2500
3,0,0,1,426,0.0017,0.0000,0.0000,0.0621,0.0538,0.0064
3,0,0,1,427,0.0383,0.4000,0.3160,0.2441,0.1831,0.5000
3,0,0,1,433,0.0181,0.0000,0.0000,0.1108,0.0988,0.0909
3,0,0,1,435,0.1896,0.4000,0.1503,0.4545,0.3897,0.2000
3,0,0,1,436,0.1426,0.8000,0.5831,0.3150,0.2426,1.0000
3,0,0,1,439,0.0288,0.1000,0.0636,0.2420,0.1412,0.1000
3,0,0,1,443,0.0947,0.5000,0.5939,0.3927,0.2920,1.0000
3,0,0,1,448,0.0022,0.0000,0.0000,0.0569,0.0223,0.0323
3,0,0,1,622,0.1176,0.6000,0.4783,0.2570,0.1785,0.5000
3,0,0,1,625,0.0116,0.1000,0.2201,0.1407,0.0152,1.0000
3,0,0,1,638,0.0043,0.1000,0.0347,0.0899,0.0910,0.1250
3,0,0,1,639,0.0717,0.4000,0.2554,0.2066,0.1873,1.0000
3,0,0,1,648,0.2129,0.9000,0.6764,0.4436,0.3430,1.0000
3,0,0,1,650,0.0108,0.0000,0.0000,0.1548,0.0020,0.0294
3,0,0,1,651,0.0123,0.3000,0.2369,0.1162,0.0453,0.2000
3,0,0,1,658,0.1168,0.2000,0.1186,0.4890,0.2708,0.3333
3,0,0,1,689,0.0358,0.2000,0.1737,0.1943,0.1327,0.3333
3,0,0,3,303,0.4058,0.4000,0.3195,0.7436,0.4121,0.2500
3,0,0,3,307,0.3120,1.0000,0.5685,0.5121,0.4134,1.0000
3,0,0,3,310,0.0553,0.2000,0.1479,0.2587,0.0878,1.0000
3,0,0,3,314,0.0028,0.1000,0.0771,0.0698,0.0119,0.1250
3,0,0,3,322,0.0011,0.0000,0.0000,0.0565,0.0052,0.0139
3,0,0,3,325,0.4584,0.3000,0.2752,0.7496,0.6521,1.0000
3,0,0,3,330,0.3226,0.4000,0.2978,0.6959,0.3928,0.3333
3,0,0,3,336,0.4067,0.8000,0.5115,0.6647,0.4337,1.0000
3,0,0,3,341,0.1270,0.1000,0.0501,0.3896,0.1483,0.1667
3,0,0,3,344,0.0948,0.7000,0.3488,0.3246,0.1589,1.0000
3,0,0,3,345,0.0123,0.0000,0.0000,0.2175,0.0000,0.0270
3,0,0,3,347,0.2506,0.6000,0.5340,0.5950,0.3158,0.5000
3,0,0,3,353,0.0588,0.0000,0.0000,0.3002,0.0340,0.0909
3,0,0,3,354,0.1515,0.5000,0.6168,0.4478,0.4032,1.0000
3,0,0,3,362,0.1968,1.0000,0.9256,0.5131,0.2246,1.0000
3,0,0,3,363,0.0952,0.4000,0.3909,0.3962,0.1529,0.5000
3,0,0,3,367,0.0712,0.3000,0.2547,0.3979,0.0886,0.3333
3,0,0,3,372,0.0767,0.2000,0.1719,0.4405,0.0803,0.2500
3,0,0,3,374,0.5764,0.8000,0.4922,0.8368,0.7144,1.0000
3,0,0,3,375,0.1872,0.2000,0.2240,0.5965,0.1628,0.5000
3,0,0,3,378,0.1331,0.1000,0.2201,0.5083,0.1550,1.0000
3,0,0,3,383,0.0303,0.0000,0.0000,0.2569,0.0234,0.0455
3,0,0,3,389,0.0332,0.1000,0.0424,0.2553,0.0805,0.1111
3,0,0,3,393,0.0311,0.0000,0.0000,0.2393,0.0587,0.0769
3,0,0,3,394,0.2078,0.8000,0.8701,0.5059,0.3039,1.0000
3,0,0,3,397,0.0493,0.2000,0.2240,0.3843,0.0413,0.5000
3,0,0,3,399,0.1350,0.6000,0.6255,0.3915,0.2871,1.0000
3,0,0,3,401,0.0803,0.3000,0.4690,0.4012,0.1261,1.0000
3,0,0,3,404,0.2200,0.4000,0.3499,0.5754,0.4024,1.0000
3,0,0,3,408,0.1011,0.1000,0.0694,0.4097,0.1243,0.5000
3,0,0,3,409,0.2563,0.4000,0.4108,0.6766,0.2944,1.0000
3,0,0,3,416,0.4023,0.7000,0.4163,0.7529,0.3785,1.0000
3,0,0,3,419,0.0992,0.2000,0.2025,0.3845,0.1280,0.5000
3,0,0,3,426,0.0216,0.1000,0.1389,0.2225,0.0999,0.5000
3,0,0,3,427,0.2588,0.8000,0.5518,0.5325,0.3115,1.0000
3,0,0,3,433,0.0624,0.1000,0.2201,0.2917,0.0837,1.0000
3,0,0,3,435,0.2468,0.2000,0.0649,0.5781,0.3522,0.1111
3,0,0,3,436,0.4194,0.5000,0.3684,0.6167,0.5823,1.0000
3,0,0,3,439,0.0407,0.2000,0.1159,0.2800,0.0786,0.2000
3,0,0,3,443,0.2223,0.6000,0.6699,0.5357,0.3830,1.0000
3,0,0,3,448,0.0121,0.0000,0.0000,0.1692,0.0241,0.0263
3,0,0,3,622,0.2236,0.7000,0.6062,0.4556,0.3498,0.5000
3,0,0,3,625,0.0195,0.2000,0.2751,0.1851,0.0216,1.0000
