schema b QueryNum map p10 ndcg10 ndcg1000 bpref unjudged relString rr 
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 347 0.1292 0.4000 0.4658 0.4869 0.1682 0 '2020000220' 1.0000
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 353 0.0289 0.0000 0.0000 0.2528 0.0000 0 '0000000000' 0.0278
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 354 0.0808 0.5000 0.6173 0.3487 0.2635 0 '2202220000' 1.0000
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 362 0.3706 0.9000 0.8641 0.6870 0.4574 0 '2222212210' 1.0000
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 363 0.0955 0.4000 0.5474 0.4056 0.1435 0 '2220020000' 1.0000
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 367 0.0598 0.2000 0.1799 0.3387 0.0813 0 '0002200000' 0.2500
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 372 0.0662 0.2000 0.1509 0.4181 0.0703 0 '0100000010' 0.5000
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 374 0.5719 0.6000 0.5394 0.8396 0.7442 0 '2002112200' 1.0000
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 375 0.2658 0.6000 0.6620 0.7239 0.1816 0 '1101010011' 1.0000
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 378 0.1211 0.0000 0.0000 0.4980 0.1072 0 '0000000000' 0.0625
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 383 0.1100 0.4000 0.4671 0.3954 0.1691 0 '2020002002' 1.0000
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 389 0.1591 0.5000 0.3483 0.4854 0.2100 0 '1001110010' 1.0000
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 393 0.0320 0.1000 0.0694 0.2511 0.0652 0 '0000000200' 0.1250
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 394 0.4380 1.0000 1.0000 0.7301 0.4448 0 '1111111111' 1.0000
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 397 0.0376 0.2000 0.1732 0.2166 0.1080 0 '0001010000' 0.2500
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 399 0.3167 1.0000 0.9682 0.5834 0.4639 0 '2222222221' 1.0000
