schema b QueryNum map p10 ndcg10 ndcg1000 bpref unjudged relString rr 
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 114002 0.0215 0.0000 0.0000 0.2475 0.0000 0 '0000000000' 0.0204
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 114003 0.0985 0.2000 0.2236 0.4171 0.1267 1 '0102-00000' 0.5000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 114004 0.0879 0.2000 0.2566 0.3469 0.1304 0 '1000020000' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 114005 0.0215 0.0000 0.0000 0.2475 0.0000 0 '0000000000' 0.0204
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 114006 0.1020 0.1000 0.2996 0.4671 0.0870 0 '2000000000' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 115001 0.0000 0.0000 0.0000 0.0000 0.0000 0 '0000000000' 0.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 115002 0.0691 0.1000 0.0734 0.4080 0.0997 0 '0000002000' 0.1429
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 115003 0.1137 0.5000 0.2578 0.4401 0.1911 0 '0000211012' 0.2000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 115004 0.0913 0.2000 0.0793 0.4172 0.0935 0 '0000101000' 0.2000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 115005 0.0156 0.0000 0.0000 0.2285 0.0093 1 '000000000-' 0.0263
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 115006 0.0060 0.0000 0.0000 0.1466 0.0129 0 '0000000000' 0.0357
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 116001 0.0158 0.1000 0.0627 0.0743 0.0510 1 '000010000-' 0.2000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 116002 0.0004 0.0000 0.0000 0.0188 0.0000 0 '0000000000' 0.0063
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 116003 0.0005 0.0000 0.0000 0.0189 0.0000 0 '0000000000' 0.0064
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 116004 0.0014 0.0000 0.0000 0.0516 0.0000 1 '000000000-' 0.0088
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 116005 0.0002 0.0000 0.0000 0.0167 0.0000 0 '0000000000' 0.0033
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 116006 0.0004 0.0000 0.0000 0.0182 0.0000 0 '0000000000' 0.0053
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 117001 0.0256 0.0000 0.0000 0.2143 0.0222 0 '0000000000' 0.0769
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 117002 0.0159 0.0000 0.0000 0.1727 0.0000 0 '0000000000' 0.0370
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 117003 0.0000 0.0000 0.0000 0.0000 0.0000 0 '0000000000' 0.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 117004 0.0275 0.0000 0.0000 0.2515 0.0222 0 '0000000000' 0.0833
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 117005 0.0283 0.0000 0.0000 0.1932 0.0083 0 '0000000000' 0.0588
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 117006 0.0283 0.0000 0.0000 0.1932 0.0083 0 '0000000000' 0.0588
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 118001 0.4061 0.8000 0.6150 0.6583 0.4417 0 '2120011111' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 118002 0.3922 0.6000 0.4139 0.6085 0.5106 0 '0102201120' 0.5000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 118003 0.3739 0.8000 0.4740 0.5668 0.4004 0 '1012111011' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 118004 0.3794 0.8000 0.5848 0.6497 0.4178 0 '2100121111' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 118005 0.0043 0.1000 0.0392 0.0243 0.0248 0 '0000001000' 0.1429
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 118006 0.3485 0.8000 0.4134 0.5726 0.3747 0 '0111021111' 0.5000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 119001 0.0606 0.2000 0.1652 0.3795 0.0828 0 '0000200002' 0.2000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 119002 0.0276 0.0000 0.0000 0.2790 0.0296 0 '0000000000' 0.0909
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 119003 0.1211 0.2000 0.2168 0.4727 0.1243 0 '0020200000' 0.3333
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 119004 0.0000 0.0000 0.0000 0.0000 0.0000 0 '0000000000' 0.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 119005 0.0321 0.0000 0.0000 0.3085 0.0237 1 '0000000-00' 0.0909
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 119006 0.0277 0.1000 0.0771 0.2934 0.0355 0 '0000000200' 0.1250
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 120001 0.0700 0.0000 0.0000 0.4258 0.0200 0 '0000000000' 0.0667
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 120002 0.0611 0.1000 0.0636 0.3931 0.0744 0 '0000000001' 0.1000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 120003 0.0330 0.1000 0.0851 0.3514 0.0544 0 '0000100000' 0.2000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 120004 0.0000 0.0000 0.0000 0.0000 0.0000 0 '0000000000' 0.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 120005 0.0000 0.0000 0.0000 0.0110 0.0000 2 '00000000--' 0.0010
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 120006 0.0486 0.1000 0.1100 0.3648 0.0578 0 '0010000000' 0.3333
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 121001 0.2739 0.9000 0.6399 0.6077 0.5318 1 '211111-212' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 121002 0.1821 0.8000 0.6195 0.4183 0.3558 0 '2011221012' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 121003 0.0182 0.4000 0.1797 0.0921 0.0844 0 '0011100100' 0.3333
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 121004 0.0953 0.5000 0.3654 0.3552 0.3021 1 '12001101-0' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 121005 0.0137 0.1000 0.0550 0.0985 0.0960 1 '0010000-00' 0.3333
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 121006 0.2576 0.6000 0.5532 0.6232 0.5409 1 '221000121-' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 122001 0.1390 0.5000 0.4211 0.4337 0.3934 0 '1022100002' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 122002 0.2912 0.9000 0.8293 0.6557 0.5630 0 '2022222221' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 122003 0.2004 0.4000 0.4479 0.5783 0.5104 1 '2102000-02' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 122004 0.3011 1.0000 0.7982 0.5935 0.5190 0 '1212221222' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 122005 0.0871 0.3000 0.2646 0.3680 0.3191 3 '110-2--000' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 122006 0.2233 0.8000 0.6615 0.5459 0.4498 2 '1222--2211' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 123001 0.1174 0.1000 0.1100 0.4933 0.1835 0 '0020000000' 0.3333
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 123002 0.1981 0.5000 0.4643 0.5858 0.1833 0 '1200022002' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 123003 0.1447 0.1000 0.0426 0.4987 0.1669 0 '0000100000' 0.2000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 123004 0.1447 0.1000 0.0426 0.4987 0.1669 0 '0000100000' 0.2000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 123005 0.3468 0.8000 0.8701 0.6796 0.4496 0 '2222222200' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 123006 0.0649 0.3000 0.3747 0.2907 0.1569 1 '2100200-00' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 124001 0.0053 0.0000 0.0000 0.0804 0.0320 4 '00000---0-' 0.0303
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 124002 0.0192 0.1000 0.0392 0.1655 0.0528 2 '000001-0-0' 0.1667
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 124003 0.0139 0.1000 0.0392 0.1329 0.0448 1 '00000100-0' 0.1667
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 124004 0.0081 0.1000 0.0331 0.0985 0.0320 1 '000-000010' 0.1111
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 124005 0.0084 0.0000 0.0000 0.1312 0.0000 4 '000000----' 0.0200
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 124006 0.0250 0.1000 0.0331 0.1731 0.0432 2 '000000-01-' 0.1111
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 125001 0.0106 0.0000 0.0000 0.1347 0.1277 0 '0000000000' 0.0588
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 125002 0.0000 0.0000 0.0000 0.0000 0.0000 0 '0000000000' 0.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 125003 0.0452 0.1000 0.0392 0.3162 0.1029 1 '0000010-00' 0.1667
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 125004 0.0940 0.4000 0.2133 0.4073 0.1999 1 '00200-1101' 0.3333
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 125005 0.0464 0.2000 0.1467 0.2877 0.0959 1 '10000010-0' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 125006 0.1562 0.4000 0.1931 0.4664 0.2859 0 '0001012010' 0.2500
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 126001 0.0160 0.1000 0.0426 0.1790 0.1426 0 '0000100000' 0.2000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 126002 0.1059 0.5000 0.2591 0.3653 0.3035 0 '0021001011' 0.3333
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 126003 0.0000 0.0000 0.0000 0.0000 0.0000 4 '000--00-0-' 0.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 126004 0.0010 0.0000 0.0000 0.0288 0.0282 0 '0000000000' 0.0667
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 126005 0.0449 0.4000 0.2088 0.1841 0.1993 3 '01--10-012' 0.5000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 126006 0.0386 0.3000 0.1756 0.2386 0.1954 4 '01--10-0-2' 0.5000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 127001 0.1404 0.5000 0.4462 0.4958 0.3806 0 '2001021002' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 127002 0.1015 0.3000 0.4153 0.4442 0.3370 0 '2020200000' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 127003 0.0829 0.3000 0.2096 0.4102 0.3433 1 '001-200200' 0.3333
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 127004 0.1667 0.3000 0.2076 0.4798 0.4238 3 '101010---0' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 127005 0.1057 0.3000 0.2915 0.4135 0.3467 2 '02201-00-0' 0.5000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 127006 0.0791 0.2000 0.1635 0.3710 0.3320 1 '00002200-0' 0.2000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 128001 0.0000 0.0000 0.0000 0.0000 0.0000 3 '0-000000--' 0.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 128002 0.1413 0.1000 0.1620 0.4870 0.0375 0 '1000000000' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 128003 0.0000 0.0000 0.0000 0.0000 0.0000 0 '0000000000' 0.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 128004 0.1376 0.1000 0.1022 0.4413 0.0801 0 '0100000000' 0.5000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 128005 0.0001 0.0000 0.0000 0.0103 0.0000 2 '0000000-0-' 0.0022
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 128006 0.0000 0.0000 0.0000 0.0000 0.0000 0 '0000000000' 0.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 129001 0.0000 0.0000 0.0000 0.0000 0.0000 1 '0000-00000' 0.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 129002 0.0007 0.0000 0.0000 0.0386 0.0000 2 '0000-0000-' 0.0041
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 129003 0.0000 0.0000 0.0000 0.0000 0.0000 1 '00-0000000' 0.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 129004 0.0042 0.0000 0.0000 0.0972 0.0000 2 '00-0000-00' 0.0182
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 129005 0.0009 0.0000 0.0000 0.0267 0.0000 0 '0000000000' 0.0049
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 129006 0.0060 0.0000 0.0000 0.0524 0.0000 1 '0000-00000' 0.0476
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 130001 0.2832 0.3000 0.4403 0.6406 0.2300 0 '2020000020' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 130002 0.2020 0.2000 0.3987 0.4783 0.2000 0 '2200000000' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 130003 0.0077 0.0000 0.0000 0.1254 0.0000 0 '0000000000' 0.0244
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 130004 0.0000 0.0000 0.0000 0.0000 0.0000 1 '00000-0000' 0.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 130005 0.2946 0.4000 0.4553 0.5904 0.3800 2 '0222000-2-' 0.5000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 130006 0.4051 0.4000 0.4723 0.6337 0.3500 0 '1220000020' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 131001 0.0484 0.1000 0.0851 0.3122 0.0556 0 '0000100000' 0.2000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 131002 0.0263 0.1000 0.0663 0.2081 0.0347 1 '000-000010' 0.1111
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 131003 0.1159 0.1000 0.1389 0.4370 0.0972 1 '01000000-0' 0.5000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 131004 0.0361 0.0000 0.0000 0.2199 0.0139 0 '0000000000' 0.0833
