schema alpha  QueryNum map p10 ndcg10 ndcg1000 bpref unjudged relString rr
topBm25fTuneBoost_Web_alpha0 0 271 0.0111 0.1000 0.0534 0.0446 0.0578 5 '0--0-10-0-' 0.1667
topBm25fTuneBoost_Web_alpha0 0 272 0.0076 0.3000 0.1180 0.0691 0.0723 7 '-1--11----' 0.5000
topBm25fTuneBoost_Web_alpha0 0 273 0.0697 0.4000 0.3464 0.2728 0.1631 3 '0-43400-3-' 0.3333
topBm25fTuneBoost_Web_alpha0 0 274 0.0059 0.2000 0.0556 0.0497 0.0759 5 '0----11-.0' 0.1667
topBm25fTuneBoost_Web_alpha0 0 275 0.0000 0.0000 0.0000 0.0000 0.0000 6 '0-0--0-0--' 0.0000
topBm25fTuneBoost_Web_alpha0 0 276 0.0133 0.3000 0.1281 0.0616 0.0493 7 '1--1---1--' 1.0000
topBm25fTuneBoost_Web_alpha0 0 277 0.0000 0.0000 0.0000 0.0046 0.0138 7 '0----0---0' 0.0024
topBm25fTuneBoost_Web_alpha0 0 278 0.0000 0.0000 0.0000 0.0000 0.0000 8 '-0----0---' 0.0000
topBm25fTuneBoost_Web_alpha0 0 279 0.0089 0.2000 0.0912 0.0596 0.0584 4 '000-21---0' 0.2000
topBm25fTuneBoost_Web_alpha0 0 280 0.0041 0.1000 0.0287 0.0583 0.0629 6 '000------1' 0.1000
topBm25fTuneBoost_Web_alpha0 0 281 0.0101 0.2000 0.0710 0.0651 0.0646 5 '----0100-1' 0.1667
topBm25fTuneBoost_Web_alpha0 0 282 0.0222 0.4000 0.3880 0.1265 0.0956 5 '10-11-1---' 1.0000
topBm25fTuneBoost_Web_alpha0 0 283 0.0502 0.4000 0.2613 0.1426 0.0724 5 '2111---0--' 1.0000
topBm25fTuneBoost_Web_alpha0 0 284 0.0425 0.6000 0.4952 0.1762 0.0862 3 '32-113.-2-' 1.0000
topBm25fTuneBoost_Web_alpha0 0 285 0.0244 0.5000 0.2844 0.0953 0.0465 5 '2--112-2--' 1.0000
topBm25fTuneBoost_Web_alpha0 0 286 0.0114 0.1000 0.0831 0.0571 0.0480 9 '1---------' 1.0000
topBm25fTuneBoost_Web_alpha0 0 287 0.0035 0.1000 0.0560 0.0277 0.0208 8 '--0--2----' 0.1667
topBm25fTuneBoost_Web_alpha0 0 288 0.0188 0.3000 0.2193 0.0927 0.0621 6 '101--2----' 1.0000
topBm25fTuneBoost_Web_alpha0 0 289 0.0002 0.0000 0.0000 0.0161 0.0317 8 '---0---0--' 0.0084
topBm25fTuneBoost_Web_alpha0 0 290 0.0167 0.1000 0.1389 0.0689 0.0322 6 '010---0---' 0.5000
topBm25fTuneBoost_Web_alpha0 0 291 0.0076 0.1000 0.0364 0.0280 0.0393 6 '000--1----' 0.1667
topBm25fTuneBoost_Web_alpha0 0 292 0.0109 0.2000 0.1400 0.0753 0.0575 8 '1------2--' 1.0000
topBm25fTuneBoost_Web_alpha0 0 293 0.0008 0.0000 0.0000 0.0171 0.0245 10 '----------' 0.0476
topBm25fTuneBoost_Web_alpha0 0 294 0.0010 0.1000 0.0784 0.0237 0.0227 7 '-----20--0' 0.1667
topBm25fTuneBoost_Web_alpha0 0 295 0.0375 0.3000 0.2915 0.1317 0.0687 3 '120010---0' 1.0000
topBm25fTuneBoost_Web_alpha0 0 296 0.0222 0.4000 0.2214 0.0793 0.0378 6 '11--1-3---' 1.0000
topBm25fTuneBoost_Web_alpha0 0 297 0.0099 0.3000 0.2379 0.0712 0.0537 6 '-1--1---10' 0.5000
topBm25fTuneBoost_Web_alpha0 0 298 0.0140 0.3000 0.0853 0.1387 0.1042 7 '---2-11---' 0.2500
topBm25fTuneBoost_Web_alpha0 0 299 0.0000 0.0000 0.0000 0.0000 0.0000 10 '----------' 0.0000
topBm25fTuneBoost_Web_alpha0 0 300 0.0000 0.0000 0.0000 0.0057 0.0143 8 '-0---0----' 0.0013
topBm25fTuneBoost_Web_alpha1 1 201 0.0345 0.3000 0.1337 0.1326 0.1142 4 '0-1-1-00-1' 0.3333
topBm25fTuneBoost_Web_alpha1 1 202 0.0000 0.0000 0.0000 0.0000 0.0000 2 '00000000--' 0.0000
topBm25fTuneBoost_Web_alpha1 1 203 0.0087 0.1000 0.0636 0.0878 0.1098 7 '0--0-----3' 0.1000
topBm25fTuneBoost_Web_alpha1 1 204 0.0259 0.3000 0.1489 0.1341 0.1352 2 '0010-200-1' 0.3333
topBm25fTuneBoost_Web_alpha1 1 205 0.0811 0.5000 0.2034 0.1563 0.1419 3 '0111101---' 0.5000
topBm25fTuneBoost_Web_alpha1 1 206 0.0113 0.0000 0.0000 0.1288 0.1518 8 '----0-0---' 0.0556
