schema alpha  QueryNum map p10 ndcg10 ndcg1000 bpref unjudged relString rr
topTuneBoost_Web_alpha1 1 218 0.0147 0.2000 0.0917 0.1096 0.1130 3 '0010-010--' 0.3333
topTuneBoost_Web_alpha1 1 219 0.0005 0.0000 0.0000 0.0268 0.0044 5 '00-0-0---0' 0.0059
topTuneBoost_Web_alpha1 1 220 0.0007 0.0000 0.0000 0.0387 0.0215 5 '00-0-00---' 0.0132
topTuneBoost_Web_alpha1 1 221 0.0909 0.6000 0.3098 0.1888 0.1834 1 '111200011-' 1.0000
topTuneBoost_Web_alpha1 1 222 0.0853 0.6000 0.2688 0.1953 0.1801 2 '1100-1221-' 1.0000
topTuneBoost_Web_alpha1 1 223 0.1262 0.6000 0.4120 0.3180 0.2218 0 '2014410010' 1.0000
topTuneBoost_Web_alpha1 1 224 0.0481 0.3000 0.3352 0.1879 0.1089 1 '20000210-0' 1.0000
topTuneBoost_Web_alpha1 1 225 0.0000 0.0000 0.0000 0.0000 0.0000 5 '0000---0--' 0.0000
topTuneBoost_Web_alpha1 1 226 0.0233 0.1000 0.0474 0.1535 0.1333 3 '0-010000--' 0.2500
topTuneBoost_Web_alpha1 1 227 0.1385 0.6000 0.6000 0.3489 0.2320 1 '413401030-' 1.0000
topTuneBoost_Web_alpha1 1 228 0.0250 0.2000 0.1488 0.1324 0.1095 4 '0200-01---' 0.5000
topTuneBoost_Web_alpha1 1 229 0.1035 0.5000 0.5767 0.2982 0.2317 1 '202202200-' 1.0000
topTuneBoost_Web_alpha1 1 230 0.0471 0.3000 0.3130 0.1824 0.1133 3 '10-020-1-0' 1.0000
topTuneBoost_Web_alpha1 1 231 0.0755 0.4000 0.1573 0.2235 0.2562 3 '0101-10-1-' 0.5000
topTuneBoost_Web_alpha1 1 232 0.1229 0.6000 0.7058 0.2794 0.1451 1 '11110100-1' 1.0000
topTuneBoost_Web_alpha1 1 233 0.0543 0.4000 0.3916 0.1794 0.0917 1 '1101010-00' 1.0000
topTuneBoost_Web_alpha1 1 234 0.0714 0.6000 0.4627 0.2175 0.1650 2 '01111--110' 0.5000
topTuneBoost_Web_alpha1 1 235 0.0714 0.1000 0.2996 0.2583 0.0714 5 '20--0.-0--' 1.0000
topTuneBoost_Web_alpha1 1 236 0.0994 0.6000 0.5352 0.2532 0.1841 3 '1111110---' 1.0000
topTuneBoost_Web_alpha1 1 237 0.0000 0.0000 0.0000 0.0000 0.0000 2 '0000-0000-' 0.0000
topTuneBoost_Web_alpha1 1 238 0.0592 0.3000 0.2490 0.1673 0.1022 2 '01201000--' 0.5000
topTuneBoost_Web_alpha1 1 239 0.0610 0.5000 0.2260 0.1607 0.1426 2 '0011110-1-' 0.3333
topTuneBoost_Web_alpha1 1 240 0.0013 0.0000 0.0000 0.0320 0.0391 6 '0---0--0-0' 0.0500
topTuneBoost_Web_alpha1 1 241 0.0097 0.2000 0.0642 0.0885 0.1334 5 '-0-100---1' 0.2500
topTuneBoost_Web_alpha1 1 242 0.0025 0.0000 0.0000 0.0456 0.0208 3 '00000--0-0' 0.0556
topTuneBoost_Web_alpha1 1 243 0.0173 0.2000 0.0813 0.0811 0.0816 1 '00-10000.1' 0.2500
topTuneBoost_Web_alpha1 1 244 0.1697 0.3000 0.2916 0.3020 0.2076 4 '1100---10-' 1.0000
topTuneBoost_Web_alpha1 1 245 0.0025 0.0000 0.0000 0.0247 0.0000 3 '0000--000-' 0.0227
topTuneBoost_Web_alpha1 1 246 0.0106 0.2000 0.1331 0.0716 0.0541 1 '02000000-1' 0.5000
topTuneBoost_Web_alpha1 1 247 0.0417 0.1000 0.1804 0.1121 0.0417 5 '10--0--00-' 1.0000
topTuneBoost_Web_alpha1 1 248 0.0029 0.0000 0.0000 0.0391 0.0404 3 '0000-0-0-0' 0.0400
topTuneBoost_Web_alpha1 1 249 0.0169 0.0000 0.0000 0.1297 0.1395 7 '---0-0-0--' 0.0909
topTuneBoost_Web_alpha1 1 250 0.0100 0.1000 0.0473 0.0362 0.0475 6 '---0100---' 0.2000
topTuneBoost_Web_alpha1 1 251 0.0029 0.0000 0.0000 0.0357 0.0328 9 '--------0-' 0.0833
topTuneBoost_Web_alpha1 1 252 0.0338 0.4000 0.2246 0.1098 0.0708 4 '11-00-1-1-' 1.0000
topTuneBoost_Web_alpha1 1 253 0.0367 0.4000 0.2581 0.1096 0.0650 4 '21101--0--' 1.0000
topTuneBoost_Web_alpha1 1 254 0.0002 0.0000 0.0000 0.0102 0.0208 6 '00--0--0--' 0.0044
topTuneBoost_Web_alpha1 1 255 0.0042 0.0000 0.0000 0.0351 0.0400 6 '--00.---0-' 0.0208
topTuneBoost_Web_alpha1 1 256 0.0423 0.4000 0.2273 0.1344 0.0995 6 '11---31---' 1.0000
topTuneBoost_Web_alpha1 1 257 0.0387 0.4000 0.1773 0.1394 0.1016 3 '011-0--022' 0.5000
topTuneBoost_Web_alpha1 1 258 0.0108 0.2000 0.1026 0.0467 0.0418 7 '01------1-' 0.5000
topTuneBoost_Web_alpha1 1 259 0.0637 0.5000 0.4775 0.1693 0.0879 3 '11111---00' 1.0000
topTuneBoost_Web_alpha1 1 260 0.0038 0.0000 0.0000 0.0384 0.0747 9 '0---------' 0.0417
topTuneBoost_Web_alpha1 1 261 0.0030 0.0000 0.0000 0.0388 0.0726 7 '-00---0---' 0.0526
topTuneBoost_Web_alpha1 1 262 0.0025 0.1000 0.0516 0.0358 0.0280 8 '----1--0--' 0.2000
topTuneBoost_Web_alpha1 1 263 0.0162 0.3000 0.2522 0.0950 0.0573 6 '10-1-2----' 1.0000
topTuneBoost_Web_alpha1 1 264 0.0122 0.1000 0.0474 0.0867 0.0982 8 '0--1------' 0.2500
topTuneBoost_Web_alpha1 1 265 0.0772 0.3000 0.3701 0.3141 0.1723 4 '03-024--0-' 0.5000
topTuneBoost_Web_alpha1 1 266 0.0191 0.5000 0.5384 0.1425 0.0653 5 '-43444----' 0.5000
topTuneBoost_Web_alpha1 1 267 0.0009 0.0000 0.0000 0.0062 0.0118 9 '------.---' 0.0769
topTuneBoost_Web_alpha1 1 268 0.0132 0.2000 0.2146 0.0633 0.0224 5 '2-1----000' 1.0000
topTuneBoost_Web_alpha1 1 269 0.0046 0.1000 0.0919 0.0690 0.0329 6 '0-0--0-4--' 0.1250
topTuneBoost_Web_alpha1 1 270 0.0227 0.1000 0.1866 0.1451 0.1100 8 '20--------' 1.0000
