schema b QueryNum map p10 ndcg10 ndcg1000 bpref unjudged relString rr 
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 291 0.0045 0.1000 0.0295 0.0227 0.0393 6 '000------1' 0.1000
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 292 0.0135 0.2000 0.1942 0.0817 0.0566 8 '12--------' 1.0000
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 293 0.0030 0.1000 0.0646 0.0332 0.0326 9 '---2------' 0.2500
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 294 0.0007 0.0000 0.0000 0.0255 0.0300 8 '---0--0---' 0.0909
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 295 0.0504 0.4000 0.4393 0.1608 0.0695 3 '2112-000--' 1.0000
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 296 0.0239 0.4000 0.2296 0.0820 0.0378 6 '11-1-3----' 1.0000
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 297 0.0136 0.4000 0.3496 0.0833 0.0537 6 '1-----11-1' 1.0000
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 298 0.0069 0.3000 0.0907 0.0354 0.0329 7 '--2---11--' 0.3333
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 299 0.0000 0.0000 0.0000 0.0000 0.0000 10 '----------' 0.0000
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 300 0.0000 0.0000 0.0000 0.0058 0.0140 8 '--00------' 0.0014
topTuneBvaried_Web_unifield_b0.0_k1.2 0.0 201 0.0436 0.4000 0.1779 0.1418 0.1149 4 '0-110-1-1-' 0.3333
topTuneBvaried_Web_unifield_b0.0_k1.2 0.0 202 0.0000 0.0000 0.0000 0.0000 0.0000 1 '0000000-00' 0.0000
topTuneBvaried_Web_unifield_b0.0_k1.2 0.0 203 0.0107 0.2000 0.1136 0.0986 0.1112 6 '0-----032-' 0.1250
topTuneBvaried_Web_unifield_b0.0_k1.2 0.0 204 0.0345 0.3000 0.1520 0.1519 0.1427 2 '0002-1-100' 0.2500
topTuneBvaried_Web_unifield_b0.0_k1.2 0.0 205 0.0730 0.4000 0.1737 0.1525 0.1417 1 '011110-000' 0.5000
topTuneBvaried_Web_unifield_b0.0_k1.2 0.0 206 0.0174 0.1000 0.0384 0.1422 0.1616 8 '-----0--1-' 0.1111
topTuneBvaried_Web_unifield_b0.0_k1.2 0.0 207 0.0282 0.2000 0.0546 0.1271 0.1347 1 '000001001-' 0.1667
topTuneBvaried_Web_unifield_b0.0_k1.2 0.0 208 0.0396 0.4000 0.1606 0.1316 0.1118 0 '0010000211' 0.3333
topTuneBvaried_Web_unifield_b0.0_k1.2 0.0 209 0.0154 0.1000 0.0722 0.0655 0.0651 5 '00--2---00' 0.2000
topTuneBvaried_Web_unifield_b0.0_k1.2 0.0 210 0.0055 0.0000 0.0000 0.0722 0.0351 4 '000-00--0-' 0.0588
topTuneBvaried_Web_unifield_b0.0_k1.2 0.0 211 0.0787 0.6000 0.2919 0.2186 0.2123 2 '01102-1-21' 0.5000
topTuneBvaried_Web_unifield_b0.0_k1.2 0.0 212 0.0012 0.0000 0.0000 0.0578 0.0000 3 '00000-00--' 0.0081
topTuneBvaried_Web_unifield_b0.0_k1.2 0.0 213 0.0183 0.1000 0.0694 0.1461 0.1883 4 '0--000-20-' 0.1250
