schema alpha  QueryNum map p10 ndcg10 ndcg1000 bpref unjudged relString rr
topBm25fTuneBoost_Hard2005_alpha1 1 651 0.0048 0.0000 0.0000 0.1092 0.0190 0 '0000000000' 0.0312
topBm25fTuneBoost_Hard2005_alpha1 1 658 0.1949 0.4000 0.2555 0.5353 0.2519 0 '0100200120' 0.5000
topBm25fTuneBoost_Hard2005_alpha1 1 689 0.0320 0.0000 0.0000 0.2620 0.0689 0 '0000000000' 0.0476
topBm25fTuneBoost_Hard2005_alpha10 10 303 0.1432 0.4000 0.3063 0.3700 0.2708 0 '0000222200' 0.2000
topBm25fTuneBoost_Hard2005_alpha10 10 307 0.0184 0.4000 0.3360 0.1100 0.0753 1 '20010010-1' 1.0000
topBm25fTuneBoost_Hard2005_alpha10 10 310 0.0006 0.0000 0.0000 0.0512 0.0109 0 '0000000000' 0.0033
topBm25fTuneBoost_Hard2005_alpha10 10 314 0.0001 0.0000 0.0000 0.0110 0.0061 7 '--00--0---' 0.0034
topBm25fTuneBoost_Hard2005_alpha10 10 322 0.0001 0.0000 0.0000 0.0127 0.0000 3 '---0000000' 0.0016
topBm25fTuneBoost_Hard2005_alpha10 10 325 0.2404 0.3000 0.1341 0.4701 0.4649 4 '-0-0-111-0' 0.1667
topBm25fTuneBoost_Hard2005_alpha10 10 330 0.1691 0.5000 0.5450 0.4327 0.3944 3 '11--20-110' 1.0000
topBm25fTuneBoost_Hard2005_alpha10 10 336 0.1440 0.4000 0.2739 0.3795 0.2642 1 '10-0112000' 1.0000
topBm25fTuneBoost_Hard2005_alpha10 10 341 0.1206 0.0000 0.0000 0.2918 0.1768 0 '0000000000' 0.0833
topBm25fTuneBoost_Hard2005_alpha10 10 344 0.0099 0.1000 0.1100 0.0985 0.0150 9 '1---------' 1.0000
topBm25fTuneBoost_Hard2005_alpha10 10 345 0.0000 0.0000 0.0000 0.0000 0.0000 1 '00000-0000' 0.0000
topBm25fTuneBoost_Hard2005_alpha10 10 347 0.0765 0.1000 0.0636 0.3362 0.3068 6 '----000--2' 0.1000
topBm25fTuneBoost_Hard2005_alpha10 10 353 0.0543 0.4000 0.2235 0.1641 0.1451 1 '00000-1111' 0.1429
topBm25fTuneBoost_Hard2005_alpha10 10 354 0.0751 0.2000 0.3590 0.3530 0.3674 8 '22--------' 1.0000
topBm25fTuneBoost_Hard2005_alpha10 10 362 0.0506 0.5000 0.5072 0.2695 0.1375 1 '022222000-' 0.5000
topBm25fTuneBoost_Hard2005_alpha10 10 363 0.0298 0.2000 0.2935 0.1936 0.1131 3 '200-0-2-00' 1.0000
topBm25fTuneBoost_Hard2005_alpha10 10 367 0.0223 0.0000 0.0000 0.2199 0.0881 5 '-0--0-00-0' 0.0435
topBm25fTuneBoost_Hard2005_alpha10 10 372 0.0290 0.0000 0.0000 0.2254 0.0894 4 '-0-0000--0' 0.0833
topBm25fTuneBoost_Hard2005_alpha10 10 374 0.3667 0.8000 0.6631 0.6810 0.6261 1 '222111-011' 1.0000
topBm25fTuneBoost_Hard2005_alpha10 10 375 0.0460 0.4000 0.4355 0.1933 0.0940 0 '1000011001' 1.0000
topBm25fTuneBoost_Hard2005_alpha10 10 378 0.0229 0.1000 0.2201 0.1809 0.0377 1 '10000000-0' 1.0000
topBm25fTuneBoost_Hard2005_alpha10 10 383 0.0015 0.0000 0.0000 0.0492 0.0311 2 '00000--000' 0.0159
topBm25fTuneBoost_Hard2005_alpha10 10 389 0.0051 0.0000 0.0000 0.0415 0.0352 3 '00-000-0-0' 0.0556
topBm25fTuneBoost_Hard2005_alpha10 10 393 0.0026 0.1000 0.0851 0.0288 0.0182 3 '000020---0' 0.2000
topBm25fTuneBoost_Hard2005_alpha10 10 394 0.1163 0.8000 0.8268 0.2603 0.1391 1 '111-101111' 1.0000
topBm25fTuneBoost_Hard2005_alpha10 10 397 0.0252 0.0000 0.0000 0.2968 0.0407 4 '-0-00000--' 0.0072
topBm25fTuneBoost_Hard2005_alpha10 10 399 0.0214 0.5000 0.4799 0.1302 0.0980 2 '20200211--' 1.0000
topBm25fTuneBoost_Hard2005_alpha10 10 401 0.0417 0.3000 0.4690 0.1759 0.0991 5 '222--0--0-' 1.0000
topBm25fTuneBoost_Hard2005_alpha10 10 404 0.0400 0.8000 0.5767 0.1899 0.1348 1 '21112-0111' 1.0000
topBm25fTuneBoost_Hard2005_alpha10 10 408 0.0299 0.2000 0.1428 0.1690 0.1339 1 '000000220-' 0.1429
topBm25fTuneBoost_Hard2005_alpha10 10 409 0.0321 0.6000 0.3941 0.1341 0.1191 0 '0110221200' 0.5000
topBm25fTuneBoost_Hard2005_alpha10 10 416 0.2978 0.7000 0.4777 0.5899 0.3993 2 '21-1011-11' 1.0000
topBm25fTuneBoost_Hard2005_alpha10 10 419 0.0073 0.0000 0.0000 0.1122 0.0311 4 '0-00---000' 0.0769
topBm25fTuneBoost_Hard2005_alpha10 10 426 0.0031 0.0000 0.0000 0.0886 0.0853 8 '-----0---0' 0.0049
topBm25fTuneBoost_Hard2005_alpha10 10 427 0.0045 0.1000 0.0474 0.0506 0.0577 6 '0001------' 0.2500
topBm25fTuneBoost_Hard2005_alpha10 10 433 0.0012 0.0000 0.0000 0.0544 0.0000 5 '00---000--' 0.0055
topBm25fTuneBoost_Hard2005_alpha10 10 435 0.0782 0.1000 0.0318 0.2353 0.2375 4 '0000--0--1' 0.1000
topBm25fTuneBoost_Hard2005_alpha10 10 436 0.0367 0.8000 0.6210 0.1751 0.1017 0 '2121100112' 1.0000
topBm25fTuneBoost_Hard2005_alpha10 10 439 0.0174 0.0000 0.0000 0.1689 0.1693 7 '000-------' 0.0625
topBm25fTuneBoost_Hard2005_alpha10 10 443 0.0154 0.2000 0.1795 0.1352 0.1226 1 '-020000200' 0.3333
topBm25fTuneBoost_Hard2005_alpha10 10 448 0.0047 0.0000 0.0000 0.1061 0.0239 6 '0------000' 0.0041
topBm25fTuneBoost_Hard2005_alpha10 10 622 0.1065 0.7000 0.7133 0.2745 0.1835 0 '2022202022' 1.0000
topBm25fTuneBoost_Hard2005_alpha10 10 625 0.0101 0.1000 0.2201 0.1110 0.0121 1 '20000000-0' 1.0000
topBm25fTuneBoost_Hard2005_alpha10 10 638 0.0043 0.0000 0.0000 0.0939 0.0947 5 '00000-----' 0.0556
topBm25fTuneBoost_Hard2005_alpha10 10 639 0.0289 0.5000 0.2511 0.1347 0.1430 0 '0111101000' 0.5000
topBm25fTuneBoost_Hard2005_alpha10 10 648 0.1328 0.5000 0.4695 0.3372 0.2556 3 '1122200---' 1.0000
topBm25fTuneBoost_Hard2005_alpha10 10 650 0.0040 0.0000 0.0000 0.0914 0.0000 0 '0000000000' 0.0204
topBm25fTuneBoost_Hard2005_alpha10 10 651 0.0026 0.0000 0.0000 0.0670 0.0625 4 '000000----' 0.0556
topBm25fTuneBoost_Hard2005_alpha10 10 658 0.0362 0.1000 0.0392 0.2139 0.1744 0 '0000010000' 0.1667
topBm25fTuneBoost_Hard2005_alpha10 10 689 0.0394 0.2000 0.1635 0.1961 0.1426 3 '0---220000' 0.2000
topBm25fTuneBoost_Hard2005_alpha2 2 303 0.3862 0.4000 0.5175 0.7817 0.3879 0 '2200202000' 1.0000
topBm25fTuneBoost_Hard2005_alpha2 2 307 0.3066 1.0000 0.5649 0.5057 0.4133 0 '1111111122' 1.0000
topBm25fTuneBoost_Hard2005_alpha2 2 310 0.0780 0.4000 0.2523 0.3050 0.1041 0 '1011000001' 1.0000
topBm25fTuneBoost_Hard2005_alpha2 2 314 0.0016 0.0000 0.0000 0.0601 0.0106 0 '0000000000' 0.0556
topBm25fTuneBoost_Hard2005_alpha2 2 322 0.0048 0.1000 0.0784 0.0788 0.0218 0 '0000020000' 0.1667
topBm25fTuneBoost_Hard2005_alpha2 2 325 0.4171 0.2000 0.1228 0.7087 0.5992 0 '0100000001' 0.5000
topBm25fTuneBoost_Hard2005_alpha2 2 330 0.2954 0.8000 0.6489 0.7150 0.3049 0 '1011111011' 1.0000
topBm25fTuneBoost_Hard2005_alpha2 2 336 0.4477 0.8000 0.4694 0.6774 0.4450 0 '0121211101' 0.5000
topBm25fTuneBoost_Hard2005_alpha2 2 341 0.1052 0.1000 0.1407 0.4033 0.1249 0 '1000000000' 1.0000
topBm25fTuneBoost_Hard2005_alpha2 2 344 0.0391 0.3000 0.2018 0.2111 0.0770 2 '1-10001-00' 1.0000
topBm25fTuneBoost_Hard2005_alpha2 2 345 0.0326 0.1000 0.0708 0.3148 0.0123 0 '0000000010' 0.1111
topBm25fTuneBoost_Hard2005_alpha2 2 347 0.2366 0.7000 0.6157 0.5876 0.2937 0 '0220222022' 0.5000
topBm25fTuneBoost_Hard2005_alpha2 2 353 0.0587 0.0000 0.0000 0.2880 0.0340 0 '0000000000' 0.0833
topBm25fTuneBoost_Hard2005_alpha2 2 354 0.1714 0.8000 0.8553 0.4860 0.3921 0 '2222202202' 1.0000
topBm25fTuneBoost_Hard2005_alpha2 2 362 0.2088 0.7000 0.4666 0.5050 0.2600 0 '1112010021' 1.0000
topBm25fTuneBoost_Hard2005_alpha2 2 363 0.1130 0.3000 0.3125 0.4609 0.1667 0 '0220000002' 0.5000
topBm25fTuneBoost_Hard2005_alpha2 2 367 0.0557 0.1000 0.0784 0.3668 0.0567 0 '0000020000' 0.1667
topBm25fTuneBoost_Hard2005_alpha2 2 372 0.0924 0.1000 0.0698 0.4461 0.0803 0 '0001000000' 0.2500
topBm25fTuneBoost_Hard2005_alpha2 2 374 0.5489 0.7000 0.6635 0.8447 0.6630 0 '2020212220' 1.0000
topBm25fTuneBoost_Hard2005_alpha2 2 375 0.2108 0.3000 0.2974 0.6465 0.1504 0 '0100101000' 0.5000
topBm25fTuneBoost_Hard2005_alpha2 2 378 0.1265 0.0000 0.0000 0.4704 0.1568 0 '0000000000' 0.0833
topBm25fTuneBoost_Hard2005_alpha2 2 383 0.0340 0.0000 0.0000 0.2648 0.0570 0 '0000000000' 0.0417
topBm25fTuneBoost_Hard2005_alpha2 2 389 0.0213 0.0000 0.0000 0.2073 0.0473 0 '0000000000' 0.0417
topBm25fTuneBoost_Hard2005_alpha2 2 393 0.0352 0.2000 0.1357 0.2454 0.0680 0 '0000000220' 0.1250
