schema alpha  QueryNum map p10 ndcg10 ndcg1000 bpref unjudged relString rr
topTuneBoost_Hard2003_alpha1 1 237 0.7300 0.9000 0.6311 0.8298 0.8028 0 '1122101221' 1.0000
topTuneBoost_Hard2003_alpha1 1 33 0.3973 1.0000 1.0000 0.6511 0.5767 0 '2222222222' 1.0000
topTuneBoost_Hard2003_alpha1 1 36 0.5901 0.9000 0.9306 0.8206 0.5781 0 '2222222022' 1.0000
topTuneBoost_Hard2003_alpha1 1 44 0.7524 0.9000 0.8898 0.9381 0.6523 0 '2222202221' 1.0000
topTuneBoost_Hard2003_alpha1 1 48 0.5442 1.0000 0.9653 0.7595 0.7451 0 '2222222122' 1.0000
topTuneBoost_Hard2003_alpha1 1 51 0.4584 1.0000 1.0000 0.6571 0.5639 0 '2222222222' 1.0000
topTuneBoost_Hard2003_alpha1 1 53 0.4723 1.0000 1.0000 0.8050 0.4800 0 '2222222222' 1.0000
topTuneBoost_Hard2003_alpha1 1 59 0.1722 0.1000 0.3026 0.4677 0.1667 1 '2000-00000' 1.0000
topTuneBoost_Hard2003_alpha1 1 65 0.7172 1.0000 1.0000 0.8752 0.7661 0 '2222222222' 1.0000
topTuneBoost_Hard2003_alpha1 1 69 0.0793 0.3000 0.2220 0.2187 0.1984 0 '1100100000' 1.0000
topTuneBoost_Hard2003_alpha1 1 70 0.3504 0.5000 0.3688 0.6581 0.3781 0 '1020101200' 1.0000
topTuneBoost_Hard2003_alpha1 1 77 0.0417 0.2000 0.1428 0.2560 0.1152 0 '0000002200' 0.1429
topTuneBoost_Hard2003_alpha1 1 84 0.0402 0.0000 0.0000 0.3321 0.0114 0 '0000000000' 0.0303
topTuneBoost_Hard2003_alpha1 1 87 0.6639 0.7000 0.7910 0.8855 0.6540 0 '2222220002' 1.0000
topTuneBoost_Hard2003_alpha1 1 99 0.2084 0.6000 0.5197 0.5166 0.4205 0 '2210010101' 1.0000
topTuneBoost_Hard2003_alpha10 10 102 0.1718 1.0000 0.9682 0.5310 0.5644 0 '2222222221' 1.0000
topTuneBoost_Hard2003_alpha10 10 105 0.0036 0.0000 0.0000 0.0687 0.0232 0 '0000000000' 0.0244
topTuneBoost_Hard2003_alpha10 10 115 0.0000 0.0000 0.0000 0.0000 0.0000 10 '----------' 0.0000
topTuneBoost_Hard2003_alpha10 10 116 0.0882 0.5000 0.4636 0.2858 0.2343 5 '-2222--1--' 0.5000
topTuneBoost_Hard2003_alpha10 10 117 0.0000 0.0000 0.0000 0.0000 0.0000 3 '0-00-000-0' 0.0000
topTuneBoost_Hard2003_alpha10 10 124 0.0591 0.1000 0.1389 0.2365 0.1000 5 '-2-0-0--00' 0.5000
topTuneBoost_Hard2003_alpha10 10 146 0.0071 0.0000 0.0000 0.0913 0.0934 6 '0---00---0' 0.0526
topTuneBoost_Hard2003_alpha10 10 147 0.0795 0.7000 0.7538 0.2264 0.1654 3 '222--222-2' 1.0000
topTuneBoost_Hard2003_alpha10 10 154 0.0037 0.0000 0.0000 0.0516 0.0000 0 '0000000000' 0.0256
topTuneBoost_Hard2003_alpha10 10 155 0.0000 0.0000 0.0000 0.0089 0.0076 5 '00000-----' 0.0012
topTuneBoost_Hard2003_alpha10 10 157 0.0070 0.1000 0.1100 0.0366 0.0519 9 '1---------' 1.0000
topTuneBoost_Hard2003_alpha10 10 171 0.1446 0.2000 0.3590 0.4679 0.4696 7 '22-0------' 1.0000
topTuneBoost_Hard2003_alpha10 10 176 0.0001 0.0000 0.0000 0.0218 0.0164 8 '-0-0------' 0.0014
topTuneBoost_Hard2003_alpha10 10 177 0.0001 0.0000 0.0000 0.0094 0.0138 2 '0000000--0' 0.0020
topTuneBoost_Hard2003_alpha10 10 180 0.0995 0.1000 0.2201 0.4784 0.5005 8 '20--------' 1.0000
topTuneBoost_Hard2003_alpha10 10 182 0.0021 0.0000 0.0000 0.0654 0.0986 5 '000-0-0---' 0.0132
topTuneBoost_Hard2003_alpha10 10 186 0.0018 0.0000 0.0000 0.0863 0.0000 8 '00--------' 0.0017
topTuneBoost_Hard2003_alpha10 10 187 0.0023 0.1000 0.0347 0.0411 0.0515 8 '---0---1--' 0.1250
topTuneBoost_Hard2003_alpha10 10 190 0.0847 0.5000 0.2759 0.2026 0.1636 0 '0021111000' 0.3333
topTuneBoost_Hard2003_alpha10 10 194 0.0776 0.4000 0.5424 0.2774 0.2004 2 '2220-02-00' 1.0000
topTuneBoost_Hard2003_alpha10 10 196 0.2088 0.9000 0.8900 0.3982 0.3074 1 '22-2222222' 1.0000
topTuneBoost_Hard2003_alpha10 10 198 0.1134 0.3000 0.2736 0.4772 0.3731 3 '100-2200--' 1.0000
topTuneBoost_Hard2003_alpha10 10 203 0.1504 0.3000 0.3039 0.4395 0.2012 0 '1210000000' 1.0000
topTuneBoost_Hard2003_alpha10 10 215 0.5101 0.8000 0.7760 0.7449 0.7488 2 '2-22-22222' 1.0000
topTuneBoost_Hard2003_alpha10 10 217 0.0169 0.0000 0.0000 0.2775 0.0889 8 '00--------' 0.0263
topTuneBoost_Hard2003_alpha10 10 220 0.0020 0.1000 0.0694 0.0416 0.0429 4 '00-0---200' 0.1250
topTuneBoost_Hard2003_alpha10 10 222 0.0503 0.4000 0.5088 0.2659 0.2712 5 '22120-----' 1.0000
topTuneBoost_Hard2003_alpha10 10 223 0.0448 0.6000 0.6173 0.1911 0.1624 4 '122222----' 1.0000
topTuneBoost_Hard2003_alpha10 10 226 0.0037 0.1000 0.0784 0.0532 0.0472 4 '--00-2-000' 0.1667
topTuneBoost_Hard2003_alpha10 10 228 0.0000 0.0000 0.0000 0.0000 0.0000 5 '---00-000-' 0.0000
topTuneBoost_Hard2003_alpha10 10 229 0.0000 0.0000 0.0000 0.0000 0.0000 10 '----------' 0.0000
topTuneBoost_Hard2003_alpha10 10 231 0.0063 0.0000 0.0000 0.1613 0.0044 0 '0000000000' 0.0050
topTuneBoost_Hard2003_alpha10 10 233 0.0529 0.4000 0.5077 0.2544 0.1526 3 '22-02-0-02' 1.0000
topTuneBoost_Hard2003_alpha10 10 234 0.0451 0.5000 0.6489 0.1669 0.0492 2 '222220--00' 1.0000
